ID,Number of Cities,Std. Dev. of Distance Matrix,X Coord. of Centroid,Y Coord. of Centroid,Radius of Customer Position,Fraction of Distinct Distance Matrix,Std. Dev. of Nearest Neighbor Distance,CV of Nearest Neighbor Distance,Ratio of Clusters to Total Customers,Ratio of Outlier Customers to Total Customers,Ratio of Edge Customers to Total Customers,Number of Clusters,Avg. Cluster Radius,X Coord. of Depot,Y Coord. of Depot,Std. Dev. of Customer Demand,Ratio of Total Demand to Total Capacity,Ratio of Max. Cluster Demand to Total Capacity,Ratio of Outlier Demand to Total Demand,Ratio of Max. Demand to Vehicle Capacity,Avg. Route Length,Area of Instance,Min. Number of Trucks,Label
1,179,140.8207451,253,249.5,201.8323473,0.63,12.72444882,0.818561757,0.022346369,0.212290503,0.083798883,4,49.8399385,380,54,1.39E-17,0.994444444,4.5,0.212290503,0.1,9.944444444,243512,18,CW
2,179,131.1426279,248.5,250,193.6541633,0.66,10.5481222,0.566520754,0.05027933,0.162011173,0.195530726,9,40.25336151,0,0,0.012125449,0.945071011,3.297410192,0.156390424,0.083542189,14.91666667,248003,12,CW
3,164,122.0967976,232,264.5,183.5429669,0.58,12.64807224,0.8731741,0.024390244,0.201219512,0.067073171,4,35.56606146,250,250,5.55E-17,0.976190476,14.71428571,0.201219512,0.142857143,6.833333333,218544,24,CW
4,94,122.4832589,247,250,188.0792898,0.02,2.645796001,0.100709923,0.053191489,0.010638298,0.106382979,5,121.0086687,438,399,0.147089836,0.898989899,2.484848485,0.005617978,0.689393939,10.44444444,187200,9,CW
5,134,98.51741777,225,286.5,137.8929281,0.64,14.80734873,0.81420912,0.037313433,0.21641791,0.149253731,5,37.69971879,259,0,1.39E-17,0.937062937,5.846153846,0.21641791,0.076923077,12.18181818,221556,11,CW
6,134,124.6750394,249,283.5,179.6566866,0.76,14.13251687,0.808269713,0.044776119,0.179104478,0.104477612,6,42.83210054,0,0,0.145887123,0.988759971,3.492385787,0.188118812,0.502538071,9.571428571,245021,14,CW
7,179,138.2198486,247.5,250,197.3693465,0.64,12.87904079,0.683975058,0.044692737,0.12849162,0.122905028,8,42.74547607,0,0,0.015358824,0.965706347,6.213878327,0.112743242,0.095057034,13.76923077,247500,13,CW
8,154,122.4728088,248,250,189.9857355,0,0.22644592,0.014175734,0.032467532,0,0.064935065,5,124.6967742,250,250,0,0.9625,3.875,0,0.125,7.7,192000,20,CW
9,164,118.3043985,249,250,171.9251159,0.64,14.4620834,0.738679377,0.012195122,0.103658537,0.067073171,2,100.4599115,438,266,2.78E-17,0.959064327,15.55555556,0.103658537,0.111111111,8.631578947,248000,19,CW
10,129,146.1042851,261.5,238,197.0258194,0.75,14.3671426,0.936756987,0.046511628,0.170542636,0.15503876,6,32.78002979,250,250,0.027012423,0.956415994,7.120147874,0.160207507,0.182994455,6.789473684,210834,19,CW
11,134,131.5491436,250.5,268,197.2780525,0.77,17.69159438,0.885991841,0.02238806,0.097014925,0.074626866,3,81.75349764,0,0,0.011971614,0.971322409,4.024390244,0.092496322,0.076219512,16.75,250000,8,CW
12,114,199.7783664,247,251.5,239.7986331,0.67,17.19483182,1.055361388,0.035087719,0.175438596,0.122807018,4,31.08059041,250,250,0.034536415,0.983333333,11.86480186,0.179684722,0.233100233,5.7,238620,20,CW
13,114,121.1828413,246.5,259,187.1230848,0.83,13.09396475,0.589746012,0.070175439,0.184210526,0.175438596,8,46.72643941,437,198,0.054314592,0.921212121,4.618181818,0.175986842,0.181818182,9.5,234720,12,CW
14,174,123.0716925,249.5,250,184.0865253,0.66,11.38341199,0.555545397,0.034482759,0.097701149,0.143678161,6,49.32816512,0,0,0.069701992,0.976774043,14.29166667,0.116979328,0.245098039,8.285714286,249500,21,CW
15,174,126.9403532,255,244.5,180.3913064,0.64,12.48275972,0.781276786,0.040229885,0.08045977,0.114942529,7,42.92118371,0,0,0.036421762,0.996934866,7.888888889,0.083781706,0.222222222,6,243024,29,CW
16,199,123.420382,250,250,189.4094307,0.59,10.11290947,0.565487523,0.070351759,0.185929648,0.221105528,14,34.04362812,250,250,0.022113301,0.990314613,3.723868955,0.181555628,0.15600624,8.291666667,245024,24,CW
17,79,123.3818225,247.5,250,187.2115519,0.03,4.130146241,0.131275099,0.063291139,0,0.126582278,5,122.3466667,0,0,0.116835998,0.881334459,1.783783784,0,0.334459459,9.875,216000,8,CW
18,119,121.0917499,240,250,184.7120744,0.01,3.497164616,0.172110944,0.042016807,0,0.084033613,5,118.9565217,0,0,0.044557459,0.978787879,2.303030303,0,0.151515152,11.9,211500,10,CW
19,109,138.7010642,252,247.5,190.8276173,0.84,16.79080965,0.79513685,0.064220183,0.174311927,0.174311927,7,35.87973037,308,201,0.085957358,0.984508547,4.262108262,0.159884247,0.284900285,6.8125,239598,16,CW
20,159,122.93396,251.5,249.5,189.1958809,0.71,10.87879553,0.521038516,0.037735849,0.062893082,0.169811321,6,62.19583321,250,250,0.031997052,0.997520661,12.10909091,0.057995029,0.181818182,7.227272727,248003,22,CW
21,104,126.6013421,250,241.5,201.3163181,0.84,13.09909989,0.56570442,0.028846154,0.134615385,0.105769231,3,81.63161825,0,0,0.019071074,0.934640523,8.058823529,0.127272727,0.130718954,9.454545455,240518,11,CW
