,PCA,Neighbors,Weights,P Integer,Mean CV Score,STD CV Score,Execution Time
0,1,165,distance,1,0.5039571100331887,0.499984341034982,77.56811761856079
1,1,145,uniform,2,0.565739086035231,0.4956595329127167,78.59511971473694
2,3,165,uniform,2,0.6576461577738065,0.4744973012980749,88.56011652946472
3,3,91,distance,1,0.6601991319887669,0.47364146578403127,89.50611615180969
4,3,17,distance,1,0.6453918815419964,0.478394398777492,91.35511708259583
5,4,169,uniform,2,0.7643604799591525,0.42439785182746464,96.36711645126343
6,4,153,uniform,1,0.7676793464386009,0.4223124050868071,96.81311678886414
7,4,125,distance,1,0.7789124329844268,0.41497934253009217,99.71511697769165
8,5,117,uniform,2,0.762062803165688,0.42582048705639075,102.69411897659302
9,5,61,uniform,2,0.7699770232320654,0.4208472489238261,104.06111764907837
10,6,101,uniform,1,0.7661475619096247,0.42327942932484025,111.97611856460571
11,7,127,distance,1,0.7664028593311207,0.42311879719554313,122.5771210193634
12,8,163,uniform,1,0.7470002552974215,0.43473080622726595,128.09412002563477
13,9,49,uniform,1,0.7722747000255298,0.4193643853810285,133.17211937904358
14,9,5,distance,2,0.7579780444217513,0.4283075163901853,135.12611770629883
15,10,35,distance,2,0.7781465407199387,0.41549308283716524,140.5851173400879
16,10,183,distance,2,0.7528720959918305,0.4313417474215758,141.2021210193634
17,10,145,uniform,2,0.7485320398263977,0.4338569178654753,144.80311584472656
18,10,153,distance,1,0.7630839928516722,0.425190325272367,145.5861189365387
19,11,35,distance,1,0.7819760020423794,0.4129037833105868,149.31211733818054
20,11,63,distance,2,0.7720194026040337,0.41953002825416985,151.51112008094788
21,12,57,uniform,2,0.7702323206535614,0.4206833641519364,157.08711695671082
22,12,27,uniform,1,0.7819760020423794,0.4129037833105868,157.2361204624176
23,12,113,uniform,2,0.7523615011488384,0.43164067549051127,160.14312100410461
24,13,23,distance,2,0.7814654071993873,0.41325201094499603,162.9541199207306
25,15,85,uniform,1,0.7528720959918305,0.43134174742157577,177.9241180419922
26,15,37,uniform,1,0.7778912432984427,0.41566387490139883,178.5621211528778
27,15,185,uniform,1,0.7416390094460046,0.4377334681218169,178.99711680412292
28,15,35,uniform,1,0.7794230278274189,0.41463570941219896,180.20011949539185
29,5,67,distance,2,0.7766147561909624,0.4165144375137726,103.6380033493042
30,3,145,uniform,1,0.655093183558846,0.47533788447122766,85.99399971961975
31,4,119,uniform,1,0.7720194026040337,0.4195300282541699,96.22900247573853
32,16,11,distance,1,0.7687005361245851,0.42166339879856835,184.77211689949036
33,16,149,distance,2,0.7551697727852948,0.4299864963655266,189.27712059020996
34,16,43,distance,1,0.7709982129180495,0.4201903956484768,191.01911878585815
35,17,89,distance,1,0.7587439366862395,0.42784527019485363,192.39611983299255
36,17,169,distance,2,0.7528720959918305,0.43134174742157577,199.09211564064026
37,18,161,distance,1,0.7510850140413582,0.43238445361026917,203.12811636924744
38,18,25,distance,2,0.7781465407199387,0.41549308283716524,206.04811644554138
39,19,143,uniform,2,0.7454684707684452,0.4355975549272527,209.55111646652222
40,19,3,uniform,1,0.7398519274955323,0.4387152298207551,209.73311567306519
41,19,153,distance,2,0.7531273934133266,0.431191978941834,211.31711792945862
42,20,53,distance,2,0.7748276742404901,0.4176957618549212,215.8941171169281
43,3,133,uniform,2,0.6609650242532551,0.4733817285945339,89.28700399398804
44,20,75,uniform,1,0.7569568547357671,0.42892094237085443,218.0161156654358
45,21,55,uniform,1,0.7638498851161604,0.4247154790258874,223.52912259101868
46,21,139,uniform,2,0.743936686239469,0.43645720650082853,226.9601173400879
47,9,169,uniform,2,0.7470002552974215,0.43473080622726595,132.57352113723755
48,8,7,distance,1,0.7717641051825377,0.4196954504570363,126.98352670669556
49,10,7,distance,1,0.7589992341077355,0.4276907723245925,140.12704038619995
50,23,149,uniform,2,0.7418943068675007,0.43759244086831695,239.2131609916687
51,23,23,distance,1,0.7717641051825377,0.4196954504570363,240.86416053771973
52,23,171,uniform,2,0.73806484554506,0.43968753600210997,240.98315691947937
53,None,111,uniform,1,0.7610416134797039,0.4264472722763189,248.9321596622467
54,None,151,distance,2,0.7536379882563186,0.4308918320336179,253.14815545082092
55,8,73,distance,1,0.7750829716619863,0.4175276741745521,125.65104174613953
56,9,69,distance,2,0.7768700536124585,0.4163447770930174,132.40203595161438
57,8,185,distance,1,0.7610416134797039,0.4264472722763189,125.45903635025024
58,15,99,uniform,2,0.755425070206791,0.42983489098705785,179.1070442199707
59,16,197,distance,1,0.7515956088843503,0.4320875485247325,188.26003980636597
60,11,117,uniform,1,0.7533826908348226,0.43104200721658753,146.45204138755798
61,9,69,uniform,2,0.7692111309675772,0.4213375926298981,133.26003742218018
62,3,21,distance,2,0.6510084248149094,0.47665129354164126,87.22104406356812
63,17,51,uniform,1,0.7661475619096247,0.42327942932484025,191.15904021263123
64,10,169,uniform,2,0.7424049017104927,0.43730980280200255,140.66290521621704
65,6,119,distance,2,0.7687005361245851,0.42166339879856835,109.79090166091919
66,21,195,distance,2,0.749808526933878,0.43312319248814873,225.63190174102783
67,7,139,uniform,1,0.7556803676282869,0.4296830804319203,117.97782492637634
