,PCA,Max iter,Alpha,Power t,Layers,Solver,Learning Rate,Learning Rate Init,Mean CV Score,STD CV Score,Execution Time
0,4,6000,0.001,0.5,"(21,)",sgd,invscaling,0.0001,0.1429701957411317,0.08884028989720179,2.3099958896636963
1,21,5000,0.0001,0.5,"(12,)",adam,constant,0.01,0.7909062475564939,0.009297885445836849,20.568999767303467
2,4,5000,0.001,0.5,"(18,)",sgd,invscaling,0.0001,0.2828319258737978,0.15933073736478168,2.548999547958374
3,1,6000,1e-05,0.5,"(3,)",sgd,invscaling,0.0001,0.14836089608257094,0.12449488303735408,2.6730008125305176
4,14,5000,1e-05,0.5,"(12,)",sgd,invscaling,0.001,0.35590416243125605,0.07071663290085156,13.348996639251709
5,9,5000,0.0005,0.5,"(21,)",sgd,invscaling,0.0001,0.20577384210389135,0.15560808260058429,15.225995779037476
6,4,6000,5e-05,0.5,"(18,)",adam,constant,0.005,0.787330583574426,0.013768936292457852,17.178998947143555
7,22,6000,0.0005,0.5,"(6,)",sgd,invscaling,0.005,0.5366506372664008,0.04296475898525001,43.616000175476074
8,3,6000,0.001,0.5,"(21,)",sgd,invscaling,0.01,0.5986713842625172,0.012163026337264937,25.45500087738037
9,17,5000,0.0001,0.5,"(18,)",sgd,invscaling,0.0005,0.3094182500586441,0.12472829287773203,27.970996141433716
10,8,6000,0.0001,0.5,"(21,)",adam,constant,0.01,0.7896232439335888,0.0200143838228666,16.984002351760864
11,None,6000,1e-05,0.5,"(3,)",sgd,adaptive,0.01,0.7727806448249798,0.011948650588158626,49.584996938705444
12,16,5000,0.001,0.5,"(18,)",sgd,invscaling,0.005,0.5634682800323194,0.0458460888250084,54.87999629974365
13,5,5000,5e-05,0.5,"(18,)",sgd,adaptive,0.01,0.7886067453801443,0.017686375365769925,36.545995235443115
14,11,6000,0.0005,0.5,"(12,)",sgd,adaptive,0.01,0.7939694268512001,0.011417642923679873,58.77799940109253
15,12,5000,1e-05,0.5,"(6,)",sgd,invscaling,0.0001,0.44193740714676666,0.06895695875949981,12.204996824264526
16,1,5000,0.0005,0.5,"(9,)",sgd,constant,0.0001,0.5631880913284855,0.012529180623100038,38.002995014190674
17,5,6000,1e-05,0.5,"(15,)",sgd,adaptive,0.005,0.7857989939270726,0.011288368505823893,47.49699807167053
18,5,6000,0.001,0.5,"(15,)",sgd,invscaling,0.01,0.5917826517580212,0.07614295129009532,36.852999210357666
19,18,6000,0.0001,0.5,"(3,)",sgd,invscaling,0.01,0.5336122188338936,0.07598412389506834,35.292999029159546
20,12,5000,5e-05,0.5,"(21,)",sgd,invscaling,0.0005,0.2943346495686397,0.16768497992996542,75.86599612236023
21,6,5000,0.0001,0.5,"(12,)",sgd,adaptive,0.001,0.7796729611384784,0.010152217171102098,43.46199917793274
22,1,5000,0.0001,0.5,"(24,)",sgd,invscaling,0.0005,0.18786066150598169,0.15753127444205653,80.71599578857422
23,7,5000,0.001,0.5,"(3,)",adam,constant,0.0005,0.7692056324445486,0.008887851485577613,41.303001403808594
24,18,5000,1e-05,0.5,"(6,)",sgd,constant,0.005,0.7962663226210024,0.01054062792155397,102.69199562072754
25,9,5000,0.0005,0.5,"(12,)",adam,constant,0.01,0.7926916360413897,0.012990012900516629,88.75599455833435
