PC,Criterion,Max Depth,Estimators,Mean CV Score,STD CV Score,Execution Time
None,entropy,14,95,0.795245589,0.017556825,12.43893099
None,entropy,12,99,0.790392785,0.01542958,12.86826801
None,entropy,11,102,0.797795306,0.018792262,13.2266202
None,entropy,14,110,0.792439466,0.009981438,14.92978263
None,entropy,10,103,0.795755793,0.020267488,15.14206004
None,entropy,10,91,0.794224855,0.018872066,13.41990685
None,entropy,11,95,0.793458571,0.01868184,14.33230352
None,entropy,13,107,0.795501016,0.013284795,16.33832502
None,entropy,9,92,0.794223877,0.018879189,12.45263767
None,entropy,10,95,0.791159395,0.018247069,13.37943673
None,entropy,9,97,0.796265997,0.019192835,13.08491373
None,entropy,11,107,0.792948367,0.01816457,15.82066011
None,entropy,9,91,0.797286731,0.021827726,12.65918803
None,entropy,11,95,0.795499713,0.018678078,14.06069851
None,entropy,9,93,0.797034235,0.020358429,12.54573846
None,entropy,12,106,0.7914158,0.017745588,15.8939755
None,entropy,10,107,0.791418406,0.013353313,15.89615226
None,entropy,9,92,0.795245263,0.015884727,13.66007447
None,entropy,12,92,0.798818972,0.013829491,14.95280051
None,entropy,13,100,0.793457594,0.019761114,16.34482551
None,entropy,9,107,0.791161024,0.016003003,14.25540066
None,entropy,10,100,0.798308442,0.015013605,13.68382263
None,entropy,10,100,0.796523705,0.021095635,13.52521133
None,entropy,11,101,0.792947064,0.017600517,13.83510089
None,entropy,13,91,0.792183061,0.013825756,13.35975671
None,entropy,11,100,0.795500039,0.019609884,14.23681378
None,entropy,9,99,0.789630086,0.016346913,13.18209887
None,entropy,14,100,0.789117601,0.019244257,14.82755446
None,entropy,9,98,0.795504275,0.016671995,13.77879453
None,entropy,12,93,0.790905596,0.014685122,14.65347958
None,entropy,15,105,0.792945435,0.018659398,16.71132255
None,entropy,12,104,0.794220945,0.021292942,16.50076509
None,entropy,10,96,0.793967798,0.02015838,13.37017179
None,entropy,10,106,0.790649517,0.01846254,15.16591144
None,entropy,10,102,0.793458571,0.017957938,14.59279847
None,entropy,15,103,0.792182084,0.013697503,15.08155155
None,entropy,9,98,0.792947715,0.017240581,12.99842882
None,entropy,11,103,0.792433276,0.019863797,14.71585822
None,entropy,12,109,0.792183387,0.01506007,15.70027709
None,entropy,12,91,0.793968775,0.01506719,13.29376149
None,entropy,15,104,0.790393111,0.01610906,15.7391634
None,entropy,13,104,0.791925353,0.018607953,15.56718183
None,entropy,10,106,0.795755467,0.017044424,14.67861629
None,entropy,15,93,0.790904293,0.017215743,14.09777403
None,entropy,9,93,0.791926004,0.020447021,12.09620762
None,entropy,9,90,0.795755467,0.014683911,11.97928929
None,entropy,12,92,0.791417103,0.014450738,13.56239557
None,entropy,15,105,0.790141593,0.012053189,16.35042429
None,entropy,9,101,0.791417429,0.017779431,14.03494763
None,entropy,11,105,0.790906248,0.015263753,15.55646968
None,entropy,12,110,0.794734733,0.014907411,16.66222286
None,entropy,11,91,0.79218078,0.015480315,13.35447741
None,entropy,9,103,0.794223226,0.018058515,14.25922179
None,entropy,12,102,0.791416777,0.017134176,15.67352152
None,entropy,11,91,0.79728836,0.012679736,13.76759744
None,entropy,14,94,0.794478002,0.015809116,14.38024855
None,entropy,9,104,0.793201514,0.019662383,13.64247656
None,entropy,13,92,0.792435882,0.01644515,12.90334606
None,entropy,12,97,0.791929262,0.012611638,13.40390587
None,entropy,12,108,0.795246566,0.01190701,15.1801908
None,entropy,14,94,0.794991464,0.012464307,13.40229416
None,entropy,15,104,0.793714325,0.014838086,14.55399513
None,entropy,11,107,0.788605442,0.019334506,14.43965983
None,entropy,15,97,0.793714651,0.014065745,13.5918386
None,entropy,10,91,0.794478979,0.017629603,11.97175598
None,entropy,10,98,0.794734407,0.020339387,13.25437188
None,entropy,11,96,0.793969427,0.018422079,13.84422874
None,entropy,11,91,0.798053992,0.018311861,13.429667
None,entropy,14,104,0.793457268,0.017494155,15.85680628
None,entropy,12,93,0.78937531,0.014653562,12.6078558
None,entropy,12,102,0.791926656,0.012779153,14.27940583
None,entropy,14,99,0.793457594,0.014474491,11.92471981
None,entropy,13,98,0.788862499,0.017018823,11.73527431
None,entropy,9,94,0.791416452,0.017193897,10.90235949
None,entropy,13,101,0.790391482,0.019888663,13.29429936
None,entropy,13,91,0.790138661,0.016597095,12.77194381
None,entropy,12,96,0.792181106,0.015909794,13.34365869
None,entropy,11,95,0.789628457,0.022014709,12.38918161
None,entropy,13,103,0.800096763,0.017473877,14.49045658
None,entropy,12,91,0.793714651,0.013905083,13.08483148
None,entropy,13,102,0.797285428,0.018887111,14.77343369
None,entropy,12,97,0.79447735,0.018895116,14.23043275
None,entropy,9,106,0.794990812,0.017716453,14.05065393
None,entropy,11,105,0.79116135,0.018297312,14.80660057
None,entropy,15,94,0.787328629,0.021092219,13.70545506
None,entropy,11,94,0.792182084,0.016118846,13.41528964
None,entropy,10,102,0.79703228,0.016398791,13.56410217
None,entropy,12,98,0.797030326,0.019469541,14.14785671
None,entropy,9,97,0.796013827,0.014957251,12.8894906
None,entropy,14,101,0.789883885,0.012544937,14.41648769
None,entropy,9,109,0.793712696,0.019317652,13.57809067
None,entropy,15,99,0.791669273,0.016351637,12.84173131
None,entropy,12,110,0.797798564,0.018173746,14.03389835
None,entropy,10,103,0.795755793,0.017548011,12.48640895
None,entropy,13,102,0.796775875,0.017136074,13.45594311
None,entropy,13,96,0.789627805,0.017325699,13.40720654
None,entropy,12,108,0.793457268,0.016751136,14.91531515
None,entropy,13,95,0.795501342,0.017341829,14.05145884
None,entropy,10,107,0.79065082,0.015698067,15.26242113
None,entropy,13,97,0.795501342,0.014853767,14.7209754
None,entropy,14,96,0.79371237,0.020781128,14.87341547
None,entropy,15,101,0.79192633,0.014901422,15.08591819
None,entropy,12,102,0.793203795,0.016203655,14.87366509
None,entropy,15,92,0.792948693,0.014786624,14.61307144
None,entropy,14,94,0.793204121,0.015076017,14.91467214
None,entropy,15,98,0.793713347,0.016191895,17.43083811
None,entropy,13,101,0.794734733,0.017739323,18.25289631
None,entropy,13,96,0.794477025,0.021498921,16.79514861
None,entropy,12,102,0.794477676,0.018976247,17.47731066
None,entropy,11,90,0.791670902,0.017632428,14.28614902
None,entropy,10,100,0.795502971,0.014874891,14.3804307
None,entropy,10,107,0.796778482,0.016482289,14.91547084
None,entropy,10,103,0.797799541,0.011170881,14.36412024
None,entropy,10,105,0.79320184,0.018126504,14.02685332
None,entropy,10,109,0.795753838,0.020639833,14.67765164
None,entropy,12,90,0.79141971,0.014813936,13.23172593
None,entropy,13,99,0.791668947,0.020694786,15.58326077
None,entropy,11,90,0.798309094,0.018883051,14.37887478
None,entropy,10,93,0.794990487,0.016480631,17.72623086
None,entropy,14,107,0.793456616,0.015445018,21.60636091
None,entropy,10,91,0.794478002,0.019244194,17.34882951
None,entropy,9,99,0.790651797,0.014651483,17.64879584
None,entropy,12,94,0.793458571,0.017437165,14.75664973
None,entropy,10,94,0.789628457,0.019223013,13.53776646
None,entropy,10,101,0.791926656,0.016999029,14.59653735
None,entropy,13,102,0.791416126,0.016228544,15.34128094
None,entropy,9,99,0.7942229,0.021800939,13.49989986
None,entropy,14,101,0.793199885,0.019498591,15.19078851
None,entropy,13,99,0.790649517,0.018929512,14.75345325
None,entropy,12,96,0.789883233,0.020095556,13.4400301
None,entropy,12,95,0.795753512,0.0208633,12.82690573
None,entropy,14,104,0.791413519,0.020669054,14.42327619
None,entropy,14,96,0.792182409,0.014502307,13.66232538
None,entropy,15,108,0.789117275,0.016300263,15.70198917
None,entropy,15,100,0.791417103,0.017306419,14.75556684
None,entropy,14,97,0.792949996,0.015051505,14.14866996
None,entropy,11,103,0.794225506,0.014930585,14.53444028
None,entropy,13,103,0.793713999,0.014663174,15.2053628
None,entropy,9,99,0.794223551,0.018286303,13.97814441
None,entropy,9,95,0.790903315,0.02016592,13.43255234
None,entropy,13,109,0.792693917,0.014911927,16.70678568
None,entropy,9,95,0.794991138,0.016355672,13.66914487
None,entropy,11,97,0.793201514,0.018077747,13.58768487
None,entropy,11,106,0.793203795,0.014329824,14.89960885
None,entropy,10,104,0.796010569,0.017150111,14.33500814
None,entropy,13,99,0.792434905,0.020378645,14.61274123
None,entropy,10,90,0.799839706,0.020617361,12.31459546
None,entropy,11,103,0.792181758,0.017979149,15.37225533
None,entropy,14,101,0.795245263,0.014444943,16.3721664
None,entropy,13,93,0.792440444,0.016464728,15.11298728
None,entropy,15,103,0.787586337,0.017780472,17.21980929
None,entropy,10,99,0.791418081,0.014256675,14.86346936
None,entropy,9,103,0.791416777,0.018471807,14.50516081
None,entropy,9,99,0.793458245,0.01913596,13.93447518
None,entropy,11,95,0.791414497,0.017373077,13.52383018
None,entropy,15,109,0.794736362,0.01065264,16.35990906
None,entropy,10,104,0.791926656,0.018782769,14.69420719
None,entropy,12,99,0.795755141,0.015509521,14.94496012
None,entropy,15,91,0.794221922,0.019842188,13.78491449
None,entropy,9,105,0.793203143,0.016153908,14.30684614
None,entropy,10,94,0.793456291,0.020197224,12.82612681
None,entropy,15,98,0.793715302,0.016835139,14.57559752
None,entropy,14,92,0.79371237,0.017295415,13.57493186
None,entropy,11,103,0.792948041,0.016522676,14.57098651
None,entropy,11,95,0.793458897,0.016236466,13.14449263
None,entropy,10,92,0.796270232,0.014527598,12.20531464
None,entropy,14,90,0.794223551,0.014937271,13.4435482
None,entropy,15,104,0.790139312,0.013371149,16.83353353
None,entropy,11,97,0.793969427,0.01810053,16.57973695
None,entropy,15,107,0.796266648,0.016625414,18.79644442
None,entropy,10,108,0.795246566,0.017874203,19.71031642
None,entropy,15,99,0.790648539,0.015774377,18.30584097
None,entropy,10,95,0.794478654,0.017886503,14.98496509
None,entropy,14,106,0.794225832,0.013838626,18.2539742
None,entropy,10,97,0.79345792,0.015681565,14.00007081
None,entropy,9,103,0.795502646,0.019195102,14.386446
None,entropy,15,109,0.791669925,0.019062164,17.60806012
None,entropy,14,109,0.788608374,0.015352598,17.9239974
None,entropy,13,95,0.790649517,0.017254129,15.04650307
None,entropy,10,93,0.791419058,0.01529739,13.73460197
None,entropy,9,109,0.798565825,0.019131901,14.79157233
None,entropy,12,90,0.793710741,0.019032073,13.5888257
None,entropy,12,99,0.796265019,0.018392601,15.10927653
None,entropy,15,98,0.791671879,0.017771835,15.19596934
None,entropy,10,93,0.793713347,0.01716681,13.4806819
None,entropy,12,97,0.795758399,0.015037272,14.16309404
None,entropy,10,105,0.796269906,0.01309707,15.49564266
None,entropy,12,100,0.793457268,0.01885552,15.25476813
None,entropy,12,99,0.796012524,0.014078639,14.99281526
None,entropy,12,109,0.796264368,0.018451836,16.39704657
None,entropy,9,108,0.789629108,0.018752744,14.44650483
None,entropy,14,109,0.795753838,0.019065121,16.22578621
None,entropy,11,96,0.794991138,0.016650615,13.97815156
None,entropy,12,94,0.79320184,0.017242531,13.71085119
None,entropy,10,99,0.798052037,0.017442728,13.39929724
